estado;regiao;interestpol;high_interest;high_med_interest;med_interest;low_interest;low_no_interest;sem_interest;votedifsex1;votedifsex2;evervotefem;faltapoiofam;dific_conc_h;apoio_party;falta_interesse;div_sexual_trab;reasonparty;presidsymbolic;femrightsconhece;femrightsenough;parityagree;quotapunish;quotasenathird;haspartner;housekeep;haskids;haskidsin;haskidsinlittle;kidscare;kidstotal;wannakids;paidjob;assoc;levelasOUTDATED;levelassoc;familysupport;partnersupport;partnchangcitsupport;candwchance;thinkcand;sex;ageinterval;educalevel;incomeinterval;religion;pesos
sao paulo;sudeste;medio;nao_alto;alto_medio;medio;nao_baixo;alto_medio;algum_interesse;nao_faz_diferenca__mentes_abertas;nao_faz_diferenca;sim;outro;dificuldade de concorrer com um homem;outro;outro;outro;dificuldade de concorrer com um homem;nao influencia;conhece;suficientes;concorda;sim;contra;tem_companh;tem_companh_sou_responsavel;tem filhos;filhos_moram;filhos_moram_crescidos;na;filhos_moram_crescidos;ja_tenho_filhos;nao;sou_membro_de_assoc;baixo;sou_membro_de_assocbaixo;apoiaria;apoiaria;apoiaria;nao;nao_nunca_pensou;feminino;de 50 a 59;ensino_superior;mais de 2 a 5 sm;catolica;0,117397168
sao paulo;sudeste;baixo;nao_alto;baixo_sem;nao_medio;baixo;baixo_sem;algum_interesse;nao_faz_diferenca__mentes_abertas;nao_faz_diferenca;nao;falta de apoio da familia;outro;outro;outro;outro;falta de apoio da familia;nao influencia;nao_conhece;voce desconhece a legislacao;concorda;sim;a favor;tem_companh;tem_companh_sou_responsavel;tem filhos;filhos_moram;filhos_moram_pequenos;filhos_peq_voce_cuida;filhos_peq_voce_cuida;ja_tenho_filhos;nao;nao_sou_membro_de_assoc; ;nao_sou_membro_de_assoc;apoiaria;apoiaria;na;sim;nao_nunca_pensou;feminino;de 30 a 39;ensino_superior;sem renda;catolica;0,117397168
sao paulo;sudeste;baixo;nao_alto;baixo_sem;nao_medio;baixo;baixo_sem;algum_interesse;nao_faz_diferenca__mentes_abertas;nao_faz_diferenca;sim;outro;outro;outro;falta_interesse;outro;falta de interesse por politica;influencia;nao_conhece;voce desconhece a legislacao;concorda;sim;a favor;tem_companh;tem_companh_sou_responsavel;tem filhos;filhos_moram;filhos_moram_crescidos;na;filhos_moram_crescidos;ja_tenho_filhos;nao;nao_sou_membro_de_assoc; ;nao_sou_membro_de_assoc;apoiaria;nao_apoiaria;nao_apoiaria;nao;nao_nunca_pensou;feminino;de 50 a 59;ensino_medio;sem renda;espirita;0,117397168
sao paulo;sudeste;alto;alto;alto_medio;nao_medio;nao_baixo;alto_medio;algum_interesse;nao_faz_diferenca__mentes_abertas;nao_faz_diferenca;sim;outro;dificuldade de concorrer com um homem;outro;outro;outro;dificuldade de concorrer com um homem;nao influencia;nao_conhece;voce desconhece a legislacao;concorda;sim;a favor;tem_companh;tem_companh_sou_responsavel;tem filhos;filhos_moram;filhos_moram_pequenos;filhos_peq_cuida_div;filhos_peq_cuida_div;ja_tenho_filhos;sim;sou_membro_de_assoc;medio;sou_membro_de_assocmedio;apoiaria;apoiaria;apoiaria;sim;nao_nunca_pensou;feminino;de 30 a 39;ensino_superior;mais de 2 a 5 sm;evangelica;0,117397168
sao paulo;sudeste;medio;nao_alto;alto_medio;medio;nao_baixo;alto_medio;algum_interesse;na_misteriosos;na;sim;outro;outro;falta_apoio_party;outro;outro;falta de apoio dos partidos politicos;nao influencia;nao_conhece;voce desconhece a legislacao;concorda;sim;contra;tem_companh;tem_companh_sou_responsavel;tem filhos;filhos_moram;filhos_moram_crescidos;na;filhos_moram_crescidos;ja_tenho_filhos;nao;nao_sou_membro_de_assoc; ;nao_sou_membro_de_assoc;nao_apoiaria;nao_apoiaria;nao_apoiaria;sim;nao_nunca_pensou;feminino;60 anos ou mais;ensino_fundamental;ate 2 sm;evangelica;0,117397168
sao paulo;sudeste;baixo;nao_alto;baixo_sem;nao_medio;baixo;baixo_sem;algum_interesse;nao_faz_diferenca__mentes_abertas;nao_faz_diferenca;nao;outro;outro;falta_apoio_party;outro;outro;falta de apoio dos partidos politicos;influencia;conhece;suficientes;concorda;nao;a favor;tem_companh;tem_companh_sou_responsavel;tem filhos;filhos_moram;filhos_moram_pequenos;filhos_peq_cuida_div;filhos_peq_cuida_div;ja_tenho_filhos;sim;nao_sou_membro_de_assoc; ;nao_sou_membro_de_assoc;nao_apoiaria;nao_apoiaria;nao_apoiaria;sim;nao_nunca_pensou;feminino;de 20 a 29;ensino_superior;ate 2 sm;catolica;0,117397168
sao paulo;sudeste;medio;nao_alto;alto_medio;medio;nao_baixo;alto_medio;algum_interesse;nao_faz_diferenca__mentes_abertas;nao_faz_diferenca;nao;falta de apoio da familia;outro;outro;outro;outro;falta de apoio da familia;influencia;nao_conhece;voce desconhece a legislacao;concorda;sim;a favor;tem_companh;tem_companh_sou_responsavel;tem filhos;filhos_moram;filhos_moram_pequenos;filhos_peq_voce_cuida;filhos_peq_voce_cuida;ja_tenho_filhos;nao;nao_sou_membro_de_assoc; ;nao_sou_membro_de_assoc;apoiaria;nao_apoiaria;nao_apoiaria;sim;nao_nunca_pensou;feminino;de 40 a 49;ensino_medio;ate 2 sm;sem religiao ou crenca;0,117397168
sergipe;nordeste;medio;nao_alto;alto_medio;medio;nao_baixo;alto_medio;algum_interesse;simmulheres_engajados/as_feministas;faz_diferenca;sim;outro;dificuldade de concorrer com um homem;outro;outro;outro;dificuldade de concorrer com um homem;influencia;conhece;insuficientes;concorda;sim;a favor;tem_companh;tem_companh_sou_responsavel;tem filhos;filhos_nao_moram;filhos_nao_moram;na;filhos_nao_moram;ja_tenho_filhos;sim;nao_sou_membro_de_assoc; ;nao_sou_membro_de_assoc;apoiaria;apoiaria;apoiaria;nao;nao_nunca_pensou;feminino;de 50 a 59;ensino_medio;ate 2 sm;catolica;0,005610249
sergipe;nordeste;medio;nao_alto;alto_medio;medio;nao_baixo;alto_medio;algum_interesse;simmulheres_engajados/as_feministas;faz_diferenca;sim;outro;dificuldade de concorrer com um homem;outro;outro;outro;dificuldade de concorrer com um homem;influencia;conhece;insuficientes;concorda;sim;a favor;tem_companh;tem_companh_sou_responsavel;tem filhos;filhos_moram;filhos_moram_pequenos;filhos_peq_cuida_div;filhos_peq_cuida_div;ja_tenho_filhos;sim;sou_membro_de_assoc;baixo;sou_membro_de_assocbaixo;apoiaria;nao_apoiaria;nao_apoiaria;nao;nao_nunca_pensou;feminino;de 30 a 39;ensino_superior;mais de 2 a 5 sm;catolica;0,005610249
tocantins;norte;medio;nao_alto;alto_medio;medio;nao_baixo;alto_medio;algum_interesse;nao_faz_diferenca__mentes_abertas;nao_faz_diferenca;sim;outro;outro;falta_apoio_party;outro;outro;falta de apoio dos partidos politicos;nao influencia;conhece;insuficientes;concorda;sim;a favor;tem_companh;tem_companh_sou_responsavel;tem filhos;filhos_moram;filhos_moram_pequenos;filhos_peq_voce_cuida;filhos_peq_voce_cuida;ja_tenho_filhos;sim;sou_membro_de_assoc;baixo;sou_membro_de_assocbaixo;apoiaria;apoiaria;apoiaria;sim;sim_mas_nunca_se_candidatou;feminino;de 40 a 49;ensino_medio;mais de 2 a 5 sm;catolica;0,003479434
alagoas;nordeste;baixo;nao_alto;baixo_sem;nao_medio;baixo;baixo_sem;algum_interesse;nao_faz_diferenca__mentes_abertas;nao_faz_diferenca;sim;outro;outro;falta_apoio_party;outro;outro;falta de apoio dos partidos politicos;nao influencia;nao_conhece;voce desconhece a legislacao;concorda;nao;a favor;tem_companh;tem_companh_divisao_igual;tem filhos;filhos_moram;filhos_moram_pequenos;filhos_peq_cuida_div;filhos_peq_cuida_div;ja_tenho_filhos;sim;nao_sou_membro_de_assoc; ;nao_sou_membro_de_assoc;apoiaria;apoiaria;nao_apoiaria;sim;nao_nunca_pensou;masculino;de 30 a 39;ensino_fundamental;ate 2 sm;catolica;0,007316251
minas gerais;sudeste;medio;nao_alto;alto_medio;medio;nao_baixo;alto_medio;algum_interesse;nao_faz_diferenca__mentes_abertas;nao_faz_diferenca;sim;outro;outro;falta_apoio_party;outro;outro;falta de apoio dos partidos politicos;nao influencia;nao_conhece;voce desconhece a legislacao;concorda;sim;contra;tem_companh;tem_companh_sou_responsavel;tem filhos;filhos_moram;filhos_moram_crescidos;na;filhos_moram_crescidos;ja_tenho_filhos;nao;nao_sou_membro_de_assoc; ;nao_sou_membro_de_assoc;na;apoiaria;nao_apoiaria;nao;nao_nunca_pensou;masculino;60 anos ou mais;ensino_fundamental;ate 2 sm;catolica;0,050404585
parana;sul;medio;nao_alto;alto_medio;medio;nao_baixo;alto_medio;algum_interesse;nao_faz_diferenca__mentes_abertas;nao_faz_diferenca;nao;outro;dificuldade de concorrer com um homem;outro;outro;outro;dificuldade de concorrer com um homem;nao influencia;nao_conhece;voce desconhece a legislacao;discorda;nao;contra;tem_companh;tem_companh_sou_responsavel;tem filhos;filhos_moram;filhos_moram_crescidos;na;filhos_moram_crescidos;ja_tenho_filhos;nao;nao_sou_membro_de_assoc; ;nao_sou_membro_de_assoc;nao_apoiaria;apoiaria;apoiaria;sim;nao_nunca_pensou;masculino;60 anos ou mais;ensino_fundamental;ate 2 sm;evangelica;0,026689144
piaui;nordeste;medio;nao_alto;alto_medio;medio;nao_baixo;alto_medio;algum_interesse;na_misteriosos;na;nao;outro;outro;outro;falta_interesse;outro;falta de interesse por politica;nao influencia;conhece;insuficientes;concorda;nao;na;tem_companh;tem_companh_sou_responsavel;tem filhos;filhos_moram;filhos_moram_crescidos;na;filhos_moram_crescidos;ja_tenho_filhos;nao;nao_sou_membro_de_assoc; ;nao_sou_membro_de_assoc;nao_apoiaria;apoiaria;apoiaria;nao;nao_nunca_pensou;masculino;60 anos ou mais;ensino_medio;ate 2 sm;catolica;0,007498314
alagoas;nordeste;baixo;nao_alto;baixo_sem;nao_medio;baixo;baixo_sem;algum_interesse;nao_faz_diferenca__mentes_abertas;nao_faz_diferenca;sim;outro;outro;falta_apoio_party;outro;outro;falta de apoio dos partidos politicos;influencia;conhece;insuficientes;discorda;nao;contra;na;na;tem filhos;filhos_moram;filhos_moram_crescidos;na;filhos_moram_crescidos;ja_tenho_filhos;sim;sou_membro_de_assoc;medio;sou_membro_de_assocmedio;nao_apoiaria;na;na;nao;nao_nunca_pensou;feminino;60 anos ou mais;ensino_superior;mais de 2 a 5 sm;catolica;0,008031018
bahia;nordeste;alto;alto;alto_medio;nao_medio;nao_baixo;alto_medio;algum_interesse;nao_faz_diferenca__mentes_abertas;nao_faz_diferenca;sim;outro;outro;falta_apoio_party;outro;outro;falta de apoio dos partidos politicos;nao influencia;nao_conhece;voce desconhece a legislacao;concorda;nao;a favor;na;na;tem filhos;filhos_moram;filhos_moram_crescidos;na;filhos_moram_crescidos;ja_tenho_filhos;sim;nao_sou_membro_de_assoc; ;nao_sou_membro_de_assoc;nao_apoiaria;na;na;nao;nao_nunca_pensou;feminino;60 anos ou mais;ensino_medio;mais de 2 a 5 sm;espirita;0,037066757
bahia;nordeste;medio;nao_alto;alto_medio;medio;nao_baixo;alto_medio;algum_interesse;nao_faz_diferenca__mentes_abertas;nao_faz_diferenca;sim;outro;outro;falta_apoio_party;outro;outro;falta de apoio dos partidos politicos;influencia;conhece;insuficientes;concorda;sim;a favor;na;na;tem filhos;filhos_moram;filhos_moram_pequenos;filhos_peq_solo_parent;filhos_peq_solo_parent;ja_tenho_filhos;nao;nao_sou_membro_de_assoc; ;nao_sou_membro_de_assoc;apoiaria;na;na;sim;nao_nunca_pensou;feminino;de 40 a 49;ensino_medio;mais de 2 a 5 sm;evangelica;0,037066757
bahia;nordeste;medio;nao_alto;alto_medio;medio;nao_baixo;alto_medio;algum_interesse;simhomens_engajados/as_patriarcado;faz_diferenca;sim;falta de apoio da familia;outro;outro;outro;outro;falta de apoio da familia;influencia;conhece;suficientes;concorda;sim;contra;na;na;nao tem filhos;nao_tem_filhos;nao_tem_filhos; ;nao_tem_filhos;nao_quero_ter_fihos;nao;nao_sou_membro_de_assoc; ;nao_sou_membro_de_assoc;nao_apoiaria;na;na;nao;nao_nunca_pensou;feminino;de 50 a 59;ensino_medio;sem renda;sem religiao ou crenca;0,037066757
maranhao;nordeste;medio;nao_alto;alto_medio;medio;nao_baixo;alto_medio;algum_interesse;nao_faz_diferenca__mentes_abertas;nao_faz_diferenca;sim;outro;outro;outro;outro;tarefas_domesticas;tempo dedicado as tarefas domesticas;influencia;conhece;insuficientes;concorda;sim;na;na;na;tem filhos;filhos_nao_moram;filhos_nao_moram;na;filhos_nao_moram;ja_tenho_filhos;nao;nao_sou_membro_de_assoc; ;nao_sou_membro_de_assoc;apoiaria;na;na;sim;nao_nunca_pensou;feminino;de 50 a 59;ensino_medio;mais de 2 a 5 sm;catolica;0,015866487
minas gerais;sudeste;alto;alto;alto_medio;nao_medio;nao_baixo;alto_medio;algum_interesse;nao_faz_diferenca__mentes_abertas;nao_faz_diferenca;sim;outro;dificuldade de concorrer com um homem;outro;outro;outro;dificuldade de concorrer com um homem;nao influencia;nao_conhece;voce desconhece a legislacao;concorda;nao;a favor;na;na;na;nao_tem_filhos;nao_tem_filhos;na;nao_tem_filhos;ja_tenho_filhos;nao;sou_membro_de_assoc;medio;sou_membro_de_assocmedio;apoiaria;na;na;sim;nao_nunca_pensou;feminino;60 anos ou mais;na;na;espirita;0,053452461
minas gerais;sudeste;alto;alto;alto_medio;nao_medio;nao_baixo;alto_medio;algum_interesse;nao_faz_diferenca__mentes_abertas;nao_faz_diferenca;sim;outro;outro;outro;falta_interesse;outro;falta de interesse por politica;nao influencia;conhece;insuficientes;concorda;nao;a favor;na;na;tem filhos;filhos_moram;filhos_moram_pequenos;filhos_peq_solo_parent;filhos_peq_solo_parent;ja_tenho_filhos;nao;nao_sou_membro_de_assoc; ;nao_sou_membro_de_assoc;apoiaria;na;na;sim;sim_mas_nunca_se_candidatou;feminino;de 40 a 49;ensino_medio;na;evangelica;0,053452461
rio de Janeiro;sudeste;nenhum;nao_alto;baixo_sem;nao_medio;nao_baixo;baixo_sem;nenhum_interesse;nao_faz_diferenca__mentes_abertas;nao_faz_diferenca;sim;outro;outro;outro;outro;tarefas_domesticas;tempo dedicado as tarefas domesticas;nao influencia;conhece;insuficientes;discorda;nao;contra;tem_companh;na;tem filhos;filhos_nao_moram;filhos_nao_moram;na;filhos_nao_moram;ja_tenho_filhos;sim;nao_sou_membro_de_assoc; ;nao_sou_membro_de_assoc;apoiaria;nao_apoiaria;nao_apoiaria;sim;nao_nunca_pensou;feminino;60 anos ou mais;ensino_superior;mais de 2 a 5 sm;evangelica;0,046547539
sao paulo;sudeste;medio;nao_alto;alto_medio;medio;nao_baixo;alto_medio;algum_interesse;nao_faz_diferenca__mentes_abertas;nao_faz_diferenca;sim;falta de apoio da familia;outro;outro;outro;outro;falta de apoio da familia;na;conhece;insuficientes;discorda;sim;a favor;na;na;tem filhos;filhos_moram;filhos_moram_pequenos;filhos_peq_solo_parent;filhos_peq_solo_parent;ja_tenho_filhos;sim;nao_sou_membro_de_assoc; ;nao_sou_membro_de_assoc;nao_apoiaria;na;na;sim;sim_mas_nunca_se_candidatou;feminino;de 40 a 49;ensino_medio;ate 2 sm;evangelica;0,117397168
sao paulo;sudeste;medio;nao_alto;alto_medio;medio;nao_baixo;alto_medio;algum_interesse;nao_faz_diferenca__mentes_abertas;nao_faz_diferenca;nao;outro;outro;outro;falta_interesse;outro;falta de interesse por politica;nao influencia;nao_conhece;voce desconhece a legislacao;concorda;sim;a favor;tem_companh;outro_arranjo;tem filhos;filhos_moram;filhos_moram_pequenos;na;filhos_peq_outro_arranjo;ja_tenho_filhos;sim;sou_membro_de_assoc;baixo;sou_membro_de_assocbaixo;apoiaria;apoiaria;apoiaria;sim;nao_nunca_pensou;feminino;de 40 a 49;ensino_medio;mais de 2 a 5 sm;evangelica;0,117397168
sao paulo;sudeste;medio;nao_alto;alto_medio;medio;nao_baixo;alto_medio;algum_interesse;nunca_votou__indiferentes;nunca_votou;nunca votou;outro;outro;falta_apoio_party;outro;outro;falta de apoio dos partidos politicos;nao influencia;conhece;suficientes;discorda;sim;a favor;na;na;tem filhos;filhos_moram;filhos_moram_crescidos;na;filhos_moram_crescidos;ja_tenho_filhos;nao;sou_membro_de_assoc;medio;sou_membro_de_assocmedio;nao_apoiaria;na;na;nao;nao_nunca_pensou;feminino;60 anos ou mais;ensino_fundamental;mais de 5 a 10 sm;catolica;0,117397168
sao paulo;sudeste;nenhum;nao_alto;baixo_sem;nao_medio;nao_baixo;baixo_sem;nenhum_interesse;nao_faz_diferenca__mentes_abertas;nao_faz_diferenca;nao;outro;outro;falta_apoio_party;outro;outro;falta de apoio dos partidos politicos;influencia;conhece;suficientes;concorda;sim;na;na;na;tem filhos;filhos_moram;filhos_moram_crescidos;na;filhos_moram_crescidos;ja_tenho_filhos;nao;nao_sou_membro_de_assoc; ;nao_sou_membro_de_assoc;apoiaria;na;na;sim;nao_nunca_pensou;feminino;de 50 a 59;ensino_superior;ate 2 sm;evangelica;0,117397168
tocantins;norte;medio;nao_alto;alto_medio;medio;nao_baixo;alto_medio;algum_interesse;nao_faz_diferenca__mentes_abertas;nao_faz_diferenca;na;outro;outro;falta_apoio_party;outro;outro;falta de apoio dos partidos politicos;na;conhece;insuficientes;concorda;nao;a favor;na;na;tem filhos;filhos_nao_moram;filhos_nao_moram;na;filhos_nao_moram;ja_tenho_filhos;sim;nao_sou_membro_de_assoc; ;nao_sou_membro_de_assoc;apoiaria;na;na;nao;nao_nunca_pensou;feminino;de 40 a 49;ensino_superior;na;catolica;0,003479434
amazonas;norte;medio;nao_alto;alto_medio;medio;nao_baixo;alto_medio;algum_interesse;na_misteriosos;na;sim;falta de apoio da familia;outro;outro;outro;outro;falta de apoio da familia;nao influencia;conhece;na;concorda;sim;a favor;tem_companh;tem_companh_divisao_igual;tem filhos;filhos_moram;filhos_moram_crescidos;na;filhos_moram_crescidos;ja_tenho_filhos;sim;sou_membro_de_assoc;alto;sou_membro_de_assocalto;apoiaria;nao_apoiaria;nao_apoiaria;sim;sim_e_ja_se_candidatou;masculino;60 anos ou mais;ensino_fundamental;mais de 10 sm;catolica;0,008233311
amazonas;norte;alto;alto;alto_medio;nao_medio;nao_baixo;alto_medio;algum_interesse;nao_faz_diferenca__mentes_abertas;nao_faz_diferenca;sim;outro;outro;outro;falta_interesse;outro;falta de interesse por politica;nao influencia;conhece;suficientes;na;nao;contra;tem_companh;tem_companh_sou_responsavel;tem filhos;filhos_nao_moram;filhos_nao_moram;na;filhos_nao_moram;ja_tenho_filhos;sim;nao_sou_membro_de_assoc; ;nao_sou_membro_de_assoc;apoiaria;apoiaria;na;sim;sim_e_ja_se_candidatou;masculino;60 anos ou mais;ensino_medio;mais de 10 sm;sem religiao ou crenca;0,008233311
bahia;nordeste;medio;nao_alto;alto_medio;medio;nao_baixo;alto_medio;algum_interesse;nao_faz_diferenca__mentes_abertas;nao_faz_diferenca;sim;outro;outro;falta_apoio_party;outro;outro;falta de apoio dos partidos politicos;nao influencia;nao_conhece;voce desconhece a legislacao;concorda;sim;contra;tem_companh;tem_companh_sou_responsavel;tem filhos;filhos_nao_moram;filhos_nao_moram;na;filhos_nao_moram;ja_tenho_filhos;nao;nao_sou_membro_de_assoc; ;nao_sou_membro_de_assoc;apoiaria;nao_apoiaria;nao_apoiaria;nao;sim_e_ja_se_candidatou;masculino;60 anos ou mais;ensino_medio;sem renda;espirita;0,033796359
bahia;nordeste;medio;nao_alto;alto_medio;medio;nao_baixo;alto_medio;algum_interesse;nao_faz_diferenca__mentes_abertas;nao_faz_diferenca;sim;outro;outro;falta_apoio_party;outro;outro;falta de apoio dos partidos politicos;influencia;nao_conhece;voce desconhece a legislacao;concorda;sim;a favor;tem_companh;tem_companh_sou_responsavel;tem filhos;filhos_nao_moram;filhos_nao_moram;na;filhos_nao_moram;ja_tenho_filhos;sim;sou_membro_de_assoc;medio;sou_membro_de_assocmedio;nao_apoiaria;nao_apoiaria;nao_apoiaria;nao;nao_nunca_pensou;masculino;60 anos ou mais;ensino_superior;mais de 2 a 5 sm;catolica;0,033796359
goias;centro-oeste;medio;nao_alto;alto_medio;medio;nao_baixo;alto_medio;algum_interesse;nao_faz_diferenca__mentes_abertas;nao_faz_diferenca;sim;outro;outro;falta_apoio_party;outro;outro;falta de apoio dos partidos politicos;influencia;nao_conhece;voce desconhece a legislacao;concorda;nao;a favor;tem_companh;tem_companh_sou_responsavel;na;na;na;filhos_peq_cuida_comp;filhos_peq_cuida_comp;ja_tenho_filhos;sim;nao_sou_membro_de_assoc; ;nao_sou_membro_de_assoc;apoiaria;apoiaria;apoiaria;sim;nao_nunca_pensou;masculino;de 30 a 39;ensino_fundamental;mais de 2 a 5 sm;evangelica;0,015718139
goias;centro-oeste;medio;nao_alto;alto_medio;medio;nao_baixo;alto_medio;algum_interesse;simna_envergonhados;faz_diferenca;sim;outro;outro;outro;falta_interesse;outro;falta de interesse por politica;influencia;nao_conhece;voce desconhece a legislacao;discorda;sim;a favor;na;na;tem filhos;filhos_moram;filhos_moram_crescidos;na;filhos_moram_crescidos;ja_tenho_filhos;nao;nao_sou_membro_de_assoc; ;nao_sou_membro_de_assoc;apoiaria;na;na;sim;nao_nunca_pensou;masculino;de 50 a 59;ensino_medio;mais de 5 a 10 sm;evangelica;0,015718139
maranhao;nordeste;medio;nao_alto;alto_medio;medio;nao_baixo;alto_medio;algum_interesse;nao_faz_diferenca__mentes_abertas;nao_faz_diferenca;sim;outro;outro;outro;outro;tarefas_domesticas;tempo dedicado as tarefas domesticas;nao influencia;conhece;suficientes;discorda;sim;contra;tem_companh;tem_companh_sou_responsavel;tem filhos;filhos_nao_moram;filhos_nao_moram;na;filhos_nao_moram;ja_tenho_filhos;sim;nao_sou_membro_de_assoc; ;nao_sou_membro_de_assoc;apoiaria;apoiaria;apoiaria;sim;nao_nunca_pensou;masculino;de 20 a 29;ensino_medio;ate 2 sm;catolica;0,015246123
mato grosso;centro-oeste;alto;alto;alto_medio;nao_medio;nao_baixo;alto_medio;algum_interesse;nao_faz_diferenca__mentes_abertas;nao_faz_diferenca;sim;outro;outro;outro;outro;outro;na;influencia;conhece;insuficientes;na;na;a favor;tem_companh;tem_companh_divisao_igual;tem filhos;filhos_moram;filhos_moram_crescidos;na;filhos_moram_crescidos;ja_tenho_filhos;sim;sou_membro_de_assoc;medio;sou_membro_de_assocmedio;apoiaria;apoiaria;nao_apoiaria;na;na;masculino;60 anos ou mais;ensino_medio;mais de 2 a 5 sm;espirita;0,00788267
minas gerais;sudeste;medio;nao_alto;alto_medio;medio;nao_baixo;alto_medio;algum_interesse;nao_faz_diferenca__mentes_abertas;nao_faz_diferenca;sim;outro;dificuldade de concorrer com um homem;outro;outro;outro;dificuldade de concorrer com um homem;influencia;conhece;insuficientes;discorda;sim;contra;tem_companh;tem_companh_divisao_igual;tem filhos;filhos_moram;filhos_moram_crescidos;na;filhos_moram_crescidos;ja_tenho_filhos;nao;sou_membro_de_assoc;baixo;sou_membro_de_assocbaixo;nao_apoiaria;nao_apoiaria;nao_apoiaria;nao;nao_nunca_pensou;masculino;de 50 a 59;ensino_fundamental;mais de 2 a 5 sm;evangelica;0,050404585
minas gerais;sudeste;alto;alto;alto_medio;nao_medio;nao_baixo;alto_medio;algum_interesse;simmulheres_engajados/as_feministas;faz_diferenca;sim;falta de apoio da familia;outro;outro;outro;outro;falta de apoio da familia;influencia;conhece;suficientes;concorda;sim;a favor;tem_companh;tem_companh_divisao_igual;tem filhos;filhos_moram;filhos_moram_crescidos;na;filhos_moram_crescidos;ja_tenho_filhos;sim;sou_membro_de_assoc;medio;sou_membro_de_assocmedio;apoiaria;apoiaria;apoiaria;sim;sim_mas_nunca_se_candidatou;masculino;de 50 a 59;ensino_fundamental;mais de 2 a 5 sm;catolica;0,050404585
minas gerais;sudeste;alto;alto;alto_medio;nao_medio;nao_baixo;alto_medio;algum_interesse;simmulheres_engajados/as_feministas;faz_diferenca;sim;falta de apoio da familia;outro;outro;outro;outro;falta de apoio da familia;influencia;conhece;suficientes;concorda;sim;a favor;tem_companh;tem_companh_sou_responsavel;tem filhos;filhos_nao_moram;filhos_nao_moram;na;filhos_nao_moram;ja_tenho_filhos;nao;nao_sou_membro_de_assoc; ;nao_sou_membro_de_assoc;apoiaria;apoiaria;apoiaria;sim;nao_nunca_pensou;masculino;60 anos ou mais;ensino_fundamental;mais de 2 a 5 sm;catolica;0,050404585
minas gerais;sudeste;medio;nao_alto;alto_medio;medio;nao_baixo;alto_medio;algum_interesse;simmulheres_engajados/as_feministas;faz_diferenca;sim;outro;outro;falta_apoio_party;outro;outro;falta de apoio dos partidos politicos;influencia;conhece;suficientes;concorda;sim;a favor;tem_companh;tem_companh_sou_responsavel;tem filhos;filhos_nao_moram;filhos_nao_moram;na;filhos_nao_moram;ja_tenho_filhos;nao;nao_sou_membro_de_assoc; ;nao_sou_membro_de_assoc;apoiaria;apoiaria;apoiaria;sim;nao_nunca_pensou;masculino;60 anos ou mais;na;ate 2 sm;catolica;0,050404585
minas gerais;sudeste;medio;nao_alto;alto_medio;medio;nao_baixo;alto_medio;algum_interesse;nao_faz_diferenca__mentes_abertas;nao_faz_diferenca;sim;outro;outro;falta_apoio_party;outro;outro;falta de apoio dos partidos politicos;influencia;conhece;insuficientes;concorda;sim;a favor;tem_companh;tem_companh_divisao_igual;tem filhos;filhos_moram;filhos_moram_crescidos;na;filhos_moram_crescidos;ja_tenho_filhos;sim;sou_membro_de_assoc;medio;sou_membro_de_assocmedio;apoiaria;apoiaria;apoiaria;sim;nao_nunca_pensou;masculino;de 50 a 59;ensino_medio;mais de 5 a 10 sm;evangelica;0,050404585
parana;sul;medio;nao_alto;alto_medio;medio;nao_baixo;alto_medio;algum_interesse;nao_faz_diferenca__mentes_abertas;nao_faz_diferenca;sim;outro;outro;outro;falta_interesse;outro;falta de interesse por politica;nao influencia;conhece;suficientes;discorda;nao;contra;tem_companh;tem_companh_divisao_igual;tem filhos;filhos_moram;filhos_moram_crescidos;na;filhos_moram_crescidos;ja_tenho_filhos;sim;sou_membro_de_assoc;baixo;sou_membro_de_assocbaixo;nao_apoiaria;nao_apoiaria;nao_apoiaria;nao;na;masculino;de 50 a 59;ensino_superior;na;catolica;0,026689144
parana;sul;medio;nao_alto;alto_medio;medio;nao_baixo;alto_medio;algum_interesse;nao_faz_diferenca__mentes_abertas;nao_faz_diferenca;sim;outro;dificuldade de concorrer com um homem;outro;outro;outro;dificuldade de concorrer com um homem;influencia;nao_conhece;voce desconhece a legislacao;concorda;sim;a favor;tem_companh;tem_companh_sou_responsavel;tem filhos;filhos_nao_moram;filhos_nao_moram;na;filhos_nao_moram;ja_tenho_filhos;sim;nao_sou_membro_de_assoc; ;nao_sou_membro_de_assoc;apoiaria;apoiaria;apoiaria;sim;nao_nunca_pensou;masculino;60 anos ou mais;ensino_superior;mais de 5 a 10 sm;espirita;0,026689144
parana;sul;na;nao_alto;na;nao_medio;nao_baixo;na;na;na_misteriosos;na;sim;outro;outro;outro;outro;outro;na;na;conhece;na;na;na;na;tem_companh;na;tem filhos;filhos_moram;filhos_moram_crescidos;na;filhos_moram_crescidos;ja_tenho_filhos;nao;nao_sou_membro_de_assoc; ;nao_sou_membro_de_assoc;na;na;na;nao;nao_nunca_pensou;masculino;60 anos ou mais;ensino_fundamental;ate 2 sm;evangelica;0,026689144
